
Name,Number,Cost,
Zach LaVine,56,$20.00,
Shaquille O Neal,67,$50.00,
Magic Johnson,45,,
Immanuel Quickley,1,$70.00,
Deandre Ayton,55,$15.00,
Magic Johnson,85,$62.00,
Kemba Walker,4,$20.00,
Nikola Vucevic,13,$9.00,
Luka Doncic,1439,,
Hassan Whiteside,1,$30.00,
Jayson Tatum,1586,,
Ja Morant,1628,,
Moses Brown,72,$5.00,
LeBron James,1443,,
Aaron Nesmith,34,$11.00,
Aaron Gordon,21,$7.00,
De'Aaron Fox,38,$13.00,
Chris Paul,42,$29.00,
Stephen Curry,1396,,
Kevin Durant,1753,,
Trae Young,85,$50.00,
Magic Johnson,56,$70.00,
Paul George,459,$3.00,
Dennis Rodman,1643,,
Aleksej Pokusevski,784,$3.00,
Marcus Morris Sr.,47,$2.00,
Tyrese Haliburton,1365,$3.00,
Jordan Nwora,1373,$1.00,
Immanuel Quickley,1168,$5.00,
